Test Case ID,Template Target,Module,Case Type,Test Case Name,Precondition,Steps to Execute,Test Data (Narasi),Expected Result (Template Key),Actual Result (Template Key),Result (PASS/FAIL),Remark
TC-TPL-TC01,invalid,Template Coverage Validation,negatif,Template[invalid] — Narasi kosong (valid=False),- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=3,,invalid,invalid,PASS,-
TC-TPL-TC02,0000,Template Coverage Validation,positif,Template[0000] — Narasi ideal komprehensif skor 5,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,"Rekan saya menunjukkan komitmen kerja yang sangat tinggi selama proyek berlangsung. Dia selalu memastikan kualitas hasil akhir memenuhi standar yang disepakati, melakukan evaluasi secara berkala dan s...",0000,0000,PASS,-
TC-TPL-TC03,0001,Template Coverage Validation,negatif,Template[0001] — Narasi pasar+keyword rubrik skor koheren,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=3,"Saya kemarin pergi ke pasar membeli sayur dan menemukan komitmen kerja pedagang yang tinggi. Standar kualitas dagangannya terjaga, evaluasi dan perbaikan kualitas pekerjaan terlihat nyata pada setiap ...",0001,0001,PASS,-
TC-TPL-TC04,0010,Template Coverage Validation,edge,Template[0010] — Narasi 9 kata keyword rubrik terisolasi,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Hasil akhir pekerjaannya selalu dievaluasi dan kualitasnya luar biasa.,0010,0010,PASS,-
TC-TPL-TC05,0011,Template Coverage Validation,negatif,Template[0011] — Narasi pasar pendek+keyword rubrik skor koheren,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=3,Di pasar tadi saya melihat komitmen kerja yang bagus. Standar kualitas produk dijaga. Evaluasi rutin dilakukan.,0011,0011,PASS,-
TC-TPL-TC06,0100,Template Coverage Validation,positif,Template[0100] — Semua keyword rubrik disebut + skor=5 + narasi negati,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerja rekan saya sangat buruk dan tidak konsisten. Standar kualitas diabaikan dan kualitas hasil akhir sangat jauh dari ekspektasi. Evaluasi dan perbaikan kualitas pekerjaan tidak pernah dila...,0100,0100,PASS,-
TC-TPL-TC07,0101,Template Coverage Validation,positif,Template[0101] — Narasi A02 skor=4: dedikasi tapi d2+d4 terpicu,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=4,"Sepanjang proyek, rekan saya menunjukkan dedikasi yang kuat terhadap standar kualitas pekerjaan. Komitmen kerjanya terlihat dari setiap iterasi revisi yang dilakukan dengan teliti. Meskipun belum semp...",0101,0101,PASS,-
TC-TPL-TC08,0110,Template Coverage Validation,positif,Template[0110] — Keyword rubrik pendek + skor=5 + narasi negatif,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Komitmen kerja buruk. Standar kualitas diabaikan. Kualitas hasil akhir mengecewakan. Evaluasi tidak dilakukan.,0110,0110,PASS,-
TC-TPL-TC09,0111,Template Coverage Validation,positif,Template[0111] — Keyword rubrik eksplisit pendek skor=4 (Round2 U02a a,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=4,Komitmen kerja rekan baik. Standar kualitas terpenuhi. Kualitas hasil akhir memuaskan. Evaluasi dilakukan.,0111,0111,PASS,-
TC-TPL-TC10,1000,Template Coverage Validation,positif,Template[1000] — Pujian generik tanpa keyword rubrik panjang skor=5,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,"Rekan saya adalah orang yang sangat baik, ramah, dan selalu mau membantu siapapun yang kesulitan. Dia mudah bergaul dan menyenangkan diajak bekerjasama. Orangnya juga jujur dan tidak pernah berbohong ...",1000,1000,PASS,-
TC-TPL-TC11,1001,Template Coverage Validation,positif,Template[1001] — Narasi komunikasi panjang di QID standar kualitas sko,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Rekan saya memiliki kemampuan komunikasi yang sangat luar biasa. Dia selalu menyampaikan informasi dengan jelas dan efektif kepada seluruh anggota tim. Kemampuannya dalam berkomunikasi dan berkoordina...,1001,1001,PASS,-
TC-TPL-TC12,1010,Template Coverage Validation,positif,Template[1010] — Pujian generik singkat tanpa keyword rubrik skor=5,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Rekan saya sangat baik dan menyenangkan diajak kerja sama.,1010,1010,PASS,-
TC-TPL-TC13,1011,Template Coverage Validation,positif,Template[1011] — 'sangat produktif' singkat skor=5 di QID kualitas,- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=5,Rekan saya sangat produktif dan selalu menyelesaikan tugas tepat waktu.,1011,1011,PASS,-
TC-TPL-TC14,1100,Template Coverage Validation,negatif,Template[1100] — Pujian generik panjang skor=1 (inkoherensi besar),- API NLP aktif pada endpoint /feedback/analyze,POST /feedback/analyze dengan skor=1,"Rekan saya adalah orang yang sangat baik hati, selalu ramah dan jujur kepada semua anggota tim. Dia menyenangkan untuk diajak bekerja sama dan tidak pernah membuat masalah apapun di dalam kelompok kam...",1100,1100,PASS,-
